"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.868565156E0,-1.229977608E-2,-1.883327961E-2,8.011817932E-3
2.878584791E0,1.330083609E-2,-9.918093681E-3,2.398777008E-2
2.888609844E0,-4.128217697E-3,-1.535034180E-2,2.319526672E-2
2.898629427E0,-9.500503540E-3,-4.052400589E-3,3.655910492E-2
2.908649010E0,-1.231271029E-2,1.692771912E-5,3.323078156E-2
2.918667656E0,-4.248619080E-4,-2.586126328E-3,8.852958679E-3
2.928687239E0,2.037763596E-3,-6.628036499E-5,-2.213001251E-2
2.938706875E0,4.717588425E-3,-9.049892426E-3,-2.194118500E-2
2.948691250E0,7.448971272E-3,-3.409647942E-2,-4.055500031E-2
2.958710833E0,1.694649458E-2,-3.299236298E-2,-1.180553436E-2
2.968730416E0,9.489059448E-5,-3.478705883E-2,2.109909058E-2
2.978783073E0,-9.615182877E-3,-4.179000854E-2,3.947257996E-3
2.988802656E0,-1.429897547E-2,-2.026033401E-2,-1.995277405E-2
2.998822239E0,-1.872503757E-2,-5.981206894E-3,-1.752758026E-2
3.008814583E0,-3.234016895E-2,1.073038578E-2,-2.687168121E-2
3.018834166E0,-7.966518402E-3,1.559913158E-2,-1.955223083E-2
3.028853802E0,2.774566412E-2,1.810050011E-2,-1.470375061E-2
3.038882291E0,2.065670490E-2,2.515393496E-2,-5.227088928E-3
3.048901875E0,2.321147919E-2,1.816910505E-2,-2.648544312E-2
3.058921510E0,1.854151487E-2,1.151704788E-2,-9.706497192E-3
3.068959948E0,9.164750576E-3,1.882356405E-2,-5.011558533E-3
3.078979531E0,1.848995686E-3,-2.662777901E-3,4.242897034E-3
3.088999166E0,-3.154933453E-3,-1.230430603E-2,-8.211135864E-4
3.098992500E0,-1.974850893E-2,-2.837538719E-3,1.280784607E-3
3.109012083E0,-3.591638803E-2,4.475533962E-3,1.280975342E-2
3.119031666E0,-2.106451988E-2,1.413065195E-2,2.887725830E-2
3.129064739E0,3.039598465E-3,7.206797600E-3,-4.752159119E-3
3.139084323E0,8.160352707E-3,1.489156485E-2,-4.807472229E-3
3.149103906E0,1.324212551E-2,-5.541622639E-3,-4.831314087E-3
3.159132239E0,1.839476824E-2,2.771198750E-3,-1.189327240E-2
3.169151771E0,4.430353642E-3,-7.791221142E-3,-4.712104797E-3
3.179171406E0,-4.561543465E-3,7.854878902E-3,-1.411628723E-2
3.189162864E0,-8.861303329E-3,4.518151283E-3,-2.571773529E-2
3.199182448E0,-6.299436092E-3,-1.367986202E-3,-3.481292725E-2
3.209202031E0,3.411948681E-3,1.124864817E-2,-1.083183289E-2
3.219246250E0,2.235299349E-2,9.024322033E-3,7.988929749E-3
3.229265781E0,1.969116926E-2,-5.340576172E-4,-1.791954041E-3
3.239285364E0,-4.280328751E-3,-1.197105646E-2,1.215457916E-2
3.249280937E0,-1.813077927E-2,-1.783090830E-2,-2.112865448E-2
3.259300469E0,-1.516652107E-2,-1.821613312E-2,-3.024196625E-2
3.269320052E0,-5.255818367E-3,-1.366984844E-2,5.545616150E-3
3.279355416E0,-2.577960491E-3,-1.902776957E-2,2.656936646E-2
3.289375000E0,1.411372423E-2,-1.062428951E-2,2.129650116E-2
3.299394583E0,7.319808006E-3,2.106219530E-2,-1.212978363E-2
3.309399062E0,1.715469360E-2,4.097700119E-2,-4.259014130E-2
3.319418646E0,9.240508080E-4,2.581566572E-2,-3.717231750E-2
3.329438229E0,-3.450751305E-3,2.967649698E-2,-1.538372040E-2
3.339480469E0,-8.098900318E-3,1.897400618E-2,4.600620270E-2
3.349500052E0,-1.542186737E-2,1.227205992E-2,9.449005127E-2
3.359519635E0,-3.845274448E-3,1.018679142E-2,8.328437805E-2
3.369539791E0,-1.067095995E-2,-4.804730415E-3,-4.293918610E-2
3.379559375E0,-2.403748035E-2,2.239179611E-2,-9.386157990E-2
3.389578958E0,7.065117359E-3,3.077864647E-2,-6.151866913E-2
3.399580104E0,2.257508039E-2,2.612990141E-2,4.545116425E-2
3.409599687E0,5.117070675E-2,-5.057513714E-3,6.340885162E-2
3.419619271E0,1.349288225E-2,-1.398140192E-2,-1.775074005E-2
3.429662552E0,-2.259284258E-2,3.843545914E-3,-1.091966629E-1
3.439682083E0,-2.688634396E-2,-4.331946373E-3,-1.096000671E-1
3.449701666E0,-2.829939127E-2,-2.046060562E-2,-7.239913940E-2
3.459697708E0,1.288324594E-2,-2.870041132E-2,-3.024101257E-3
3.469717291E0,2.528947592E-2,-2.433639765E-2,3.914451599E-2
3.479736875E0,1.858764887E-2,-1.625645161E-2,4.991245270E-2
3.489757916E0,9.060144424E-3,-1.081162691E-2,6.751346588E-2
3.499777396E0,-2.916216850E-3,2.540326118E-2,9.424781799E-2
3.509797031E0,-2.897369862E-2,3.338211775E-2,5.466842651E-2
3.519824375E0,-1.443392038E-2,4.483038187E-2,1.117038727E-2
3.529843906E0,-1.164448261E-2,4.555475712E-2,-2.440261841E-2
3.539863489E0,2.963364124E-3,5.196410418E-2,-6.399059296E-2
3.549881771E0,-1.418292522E-3,5.157518387E-2,-4.637432098E-2
3.559901354E0,6.101310253E-3,2.288627625E-2,-8.010864258E-4
3.569920937E0,1.314377785E-2,1.063239574E-2,1.804161072E-2
3.579922864E0,5.952894688E-3,1.280522346E-2,1.539134979E-2
3.589942396E0,-6.023347378E-3,-1.054877043E-2,-1.543903351E-2
3.599961979E0,-8.357882500E-3,-1.909428835E-2,-3.159999847E-2
3.610006927E0,-8.185863495E-3,-1.086694002E-2,-3.334331512E-2
3.620026562E0,-1.010596752E-3,-1.966893673E-2,-2.097606659E-2
3.630046250E0,-5.674660206E-3,-2.397722006E-2,9.987831116E-3
3.640045937E0,-5.356132984E-3,-2.401411533E-2,1.214694977E-2
3.650065625E0,-2.749860287E-3,-1.504075527E-2,3.306198120E-2
3.660085260E0,4.408359528E-3,-1.782691479E-2,1.832199097E-2
3.670133698E0,-9.798049927E-3,-1.021546125E-2,6.268501282E-3
3.680153333E0,-1.531243324E-4,-2.021610737E-3,1.803302765E-2
3.690172969E0,-5.016326904E-3,6.407260895E-3,4.374790192E-2
3.700163906E0,1.936852932E-3,1.248228550E-2,1.725101471E-2
3.710183594E0,6.244361401E-3,4.296123981E-3,-1.755714417E-3
3.720203177E0,2.014553547E-2,1.493239403E-2,-6.318092346E-3
3.730237135E0,5.765259266E-3,2.764731646E-2,-2.728080750E-2
3.740256823E0,5.745232105E-3,3.759098053E-2,-2.672576904E-2
3.750276458E0,3.531217575E-3,1.655298471E-2,-5.000114441E-3
3.760284323E0,1.313036680E-2,1.924961805E-2,-3.309345245E-2
3.770303958E0,3.750443459E-3,2.000260353E-2,-4.890155792E-2
3.780323594E0,-1.008850336E-2,6.830394268E-3,-3.145885468E-2
